id,name,instructions
135,The Monte Rua,Combine all ingredients in a sparkling wine glass.
136,See ya Amaro!,Combine all ingredients in a tall glass.
137,Rose Sangria,"Combine all ingredients in a wine glass, stir to mix. Add ice and enjoy.  
Convert ounces to cups to make a larger pitcher for you and your guests."
138,White Tie,Combine all ingredients in mixing glass with ice and stir. Strain into chilled cocktail coupe or Nick & Nora. Expel lemon peel over cocktail then place in glass.
139,The Italian Diplomat,"Combine all ingredients in mixing glass. Stir and strain into Nick & Nora cocktail glass. Garnish with lemon zest and yerba mate tea sachet.

*Bay Leaf Syrup:
-- 16 oz Water
-- 12 Bay Leaves
-- 1.5 C White Sugar

Bring water to boil with bay leaves. Lower heat to medium and simmer 15-20 mins. Stir in white sugar until dissolved, without bringing to a boil again. Remove from heat, let cool at room temperature. Remove bay leaves and enjoy.

**Salt Tincture:
-- .5 C Salt
-- 1 C Water
-- 2 C 100p Vodka

Stir salt with water and vodka. Stir until dissolved. Strain out extra salt, if any."
140,Bunny Poison,"Combine all ingredients in Perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (For home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.)
Spray with atomized Old Tom Gin.
Garnish with cucumber peel or candied rhubarb slice.

*Rhubarb Cucumber & Mint-Infused Junipero Gin:
-- 1 bottle Junipero Gin
-- 1 qt Chopped Rhubarb
-- 1 Chopped Large English Cucumber
-- .5 Bunch (15g) Fresh Mint (with stems)

Combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (For home use, combine all ingredients in plastic container and let rest for one week.)

*Rhubarb Syrup:
Juice 1 qt (8-10 Stalks)
Add to 1 qt of unbleached Cane sugar in saucepan and bring to simmer.
Remove from heat, allow to cool and strain in Chinoise."
141,See You T'Amaro,"Combine all ingredients in shaker. Dry shake for 10 seconds, add ice and shake for 30 seconds. Strain into small tumbler. Garnish with a sprinkle of grated nutmeg."
142,Cut To The Chase,"Combine all ingredients in to a mixing glass and add ice.

Stir for about 10-15 seconds.

Strain in to a cocktail coupe or a glass of your choosing.

Garnish with an orange twist expressed over the top of the drink."
143,The Lover's Quarrel ,Combine all ingredients into a large punch bowl and add large ice cube/cubes. Garnish liberally with slice fruits.
144,Hophead Dirty Martini,Combine all ingredients into a mixing glass and add ice. Shake and strain into a martini glass. Garnish with an olive.
145,Newton's Theory,"Combine all ingredients into a mixing glass and add ice. Stir for about 10 seconds and then strain into a chilled cocktail coupe. Garnish with skewered apple spheres and be thankful you're having a cocktail, and not having an apple shot off your head."
146,West Coast Vesper,Combine all ingredients into a mixing glass and add ice. Stir until proper dilution and strain into a chilled coupe. Garnish with an orange peel.
147,Hophead Old Fashioned,"Combine all ingredients into a mixing glass and stir until proper dilution. Strain into a chilled bucket glass over a large ice cube and garnish with a dukes lemon and dukes grapefruit zest.
"
148,Bacio Romana,Combine all ingredients into mixing glass. Add ice. Stir until very cold. Strain and fine strain to prevent ice chips in coupe glass. Garnish with orange twist entwined around a cinnamon stick.
149,3 Degrees,"Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage."
150,Jack Cherry Sour (2001 Remix),"Combine all ingredients, add ice, and shake. Double strain into an old fashioned glass and add fresh ice. Garnish with an orange slice (1/4 wheel) and Luxardo Cherry (both speared).

*0.25 - 0.50 oz Cane Sugar Syrup (to taste to allow variations in citrus flavor when batching)"
