recipe_id,synergy_score,conflict_score,final_balance_score,synergy_normalized,conflict_normalized,balance_normalized,conflict_good,sqe_total,n_ingredients,roles_summary,base_count,modifier_count,acid_count,sweetener_count
142,0.284325152,0.0447329619636529,-0.5253839026181109,0.0042451276094043035,0.0447329619636529,0.24463368243934475,0.955267038036347,0.3616682671864692,3,"acid:1,sweetener:1",0.0,0.0,1.0,1.0
143,2.127550916703252,0.0018947368421052,-0.2650466284724667,0.03176548073000031,0.0018947368421052,0.6912850133066053,0.9981052631578948,0.5195232752313501,3,"base:1,modifier:1",1.0,1.0,0.0,0.0
144,0.67112496,0.0336162717433244,-0.291975712543267,0.010020257008624965,0.0336162717433244,0.645083748894002,0.9663837282566756,0.48744834594865327,4,"base:1,sweetener:1",1.0,0.0,0.0,1.0
145,3.0480776567321355,0.0553845789474048,-0.5210643403875719,0.0455094406006049,0.0553845789474048,0.25204460054688715,0.9446154210525952,0.37720178272008664,3,sweetener:1,0.0,0.0,0.0,1.0
146,0.9599556160225092,0.0218623117409271,-0.2854052813360024,0.014332654218997373,0.0218623117409271,0.6563564022346632,0.9781376882590729,0.4960812888357198,3,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
147,3.624761832350511,0.0169562002288699,-0.2032410390331659,0.05411964584837744,0.0169562002288699,0.797322648019856,0.9830437997711301,0.5557577926766467,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
148,1.139919072,0.0337357878949948,-0.2502004292578478,0.017019605515004636,0.0337357878949948,0.7167561052172485,0.9662642121050052,0.511713937402678,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
149,2.526115256622457,0.0107393334441404,-0.3461172568827976,0.03771626092518691,0.0107393334441404,0.5521950416820972,0.9892606665558596,0.47752321684146176,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
150,2.014320489960721,0.0187464442647915,-0.2389107123842677,0.030074889491736066,0.0187464442647915,0.7361254678382848,0.9812535557352084,0.5272436628687424,4,"base:1,modifier:2",1.0,2.0,0.0,0.0
151,1.334760992794785,0.0140539857835903,-0.2225879388837141,0.019928700301790534,0.0140539857835903,0.7641298653314706,0.9859460142164097,0.5329942439850803,5,"base:1,modifier:2,acid:1,sweetener:1",1.0,2.0,1.0,1.0
